addressid,addressline1,addressline2,city,stateprovinceid,postalcode,spatiallocation,rowguid,modifieddate
1,1970 Napa Ct.,,Bothell,79,98011,<memory at 0x000001A696BA5D80>,9aadcb0d-36cf-483f-84d8-585c2d4ec6e9,2007-12-04 00:00:00
2,9833 Mt. Dias Blv.,,Bothell,79,98011,<memory at 0x000001A696BA5B40>,32a54b9e-e034-4bfb-b573-a71cde60d8c0,2008-11-30 00:00:00
3,7484 Roundtree Drive,,Bothell,79,98011,<memory at 0x000001A696BA5FC0>,4c506923-6d1b-452c-a07c-baa6f5b142a4,2013-03-07 00:00:00
4,9539 Glenside Dr,,Bothell,79,98011,<memory at 0x000001A696BA6080>,e5946c78-4bcc-477f-9fa1-cc09de16a880,2009-02-03 00:00:00
5,1226 Shoe St.,,Bothell,79,98011,<memory at 0x000001A696BA6140>,fbaff937-4a97-4af0-81fd-b849900e9bb0,2008-12-19 00:00:00
6,1399 Firestone Drive,,Bothell,79,98011,<memory at 0x000001A696BA6200>,febf8191-9804-44c8-877a-33fde94f0075,2009-02-13 00:00:00
7,5672 Hale Dr.,,Bothell,79,98011,<memory at 0x000001A696BA62C0>,0175a174-6c34-4d41-b3c1-4419cd6a0446,2009-12-11 00:00:00
8,6387 Scenic Avenue,,Bothell,79,98011,<memory at 0x000001A696BA6380>,3715e813-4dca-49e0-8f1c-31857d21f269,2008-12-17 00:00:00
9,8713 Yosemite Ct.,,Bothell,79,98011,<memory at 0x000001A696BA6440>,268af621-76d7-4c78-9441-144fd139821a,2012-05-30 00:00:00
10,250 Race Court,,Bothell,79,98011,<memory at 0x000001A696BA6500>,0b6b739d-8eb6-4378-8d55-fe196af34c04,2008-12-02 00:00:00
11,1318 Lasalle Street,,Bothell,79,98011,<memory at 0x000001A696BA65C0>,981b3303-aca2-49c7-9a96-fb670785b269,2013-02-28 00:00:00
12,5415 San Gabriel Dr.,,Bothell,79,98011,<memory at 0x000001A696BA6680>,1c2c9cfe-ab9f-4f96-8e1f-d9666b6f7f22,2013-01-05 00:00:00
13,9265 La Paz,,Bothell,79,98011,<memory at 0x000001A696BA6740>,e0ba2f52-c907-4553-a0db-67fc67d28ae4,2013-12-14 00:00:00
